timestamp,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore,sumOpenInterest,sumOpenInterestValue
2024-10-09 17:00:00,140.84,141.28,140.4,140.91,39300.113,2024-10-09 17:29:59.999,5536991.71111,27310,21037.662,2964501.8006,0,,
2024-10-09 17:30:00,140.92,141.45,140.82,141.17,22273.584,2024-10-09 17:59:59.999,3145728.86709,21091,10381.959,1466469.20706,0,,
2024-10-09 18:00:00,141.16,141.43,139.75,141.18,99963.216,2024-10-09 18:29:59.999,14043692.77176,53703,43345.31,6094486.36666,0,,
2024-10-09 18:30:00,141.18,141.26,140.34,140.56,48922.145,2024-10-09 18:59:59.999,6885482.95391,35539,19308.21,2718176.94941,0,,
2024-10-09 19:00:00,140.57,140.92,140.04,140.34,40435.216,2024-10-09 19:29:59.999,5681764.49693,32775,18647.736,2620321.49996,0,,
2024-10-09 19:30:00,140.34,141.16,140.24,141.12,31584.179,2024-10-09 19:59:59.999,4444494.83545,27300,16488.541,2320608.24469,0,,
2024-10-09 20:00:00,141.11,141.11,139.3,139.73,64942.508,2024-10-09 20:29:59.999,9098377.68522,35970,28417.028,3978694.66924,0,,
2024-10-09 20:30:00,139.74,140.32,138.68,138.79,77564.933,2024-10-09 20:59:59.999,10807571.02112,64989,35071.38,4888609.51963,0,,
2024-10-09 21:00:00,138.8,140.07,138.66,139.92,55846.484,2024-10-09 21:29:59.999,7783781.2368,39693,29151.151,4062498.791,0,,
2024-10-09 21:30:00,139.93,140.04,139.58,139.86,21361.174,2024-10-09 21:59:59.999,2987016.611,9902,8925.018,1248097.80389,0,,
2024-10-09 22:00:00,139.86,139.89,139.35,139.44,25090.411,2024-10-09 22:29:59.999,3503010.28065,19030,12198.212,1703067.01785,0,,
2024-10-09 22:30:00,139.44,139.78,139.16,139.2,34868.185,2024-10-09 22:59:59.999,4862990.63022,16549,11552.506,1611253.00463,0,,
2024-10-09 23:00:00,139.2,139.47,139.06,139.31,12379.492,2024-10-09 23:29:59.999,1724087.82758,13923,5257.314,732269.89198,0,,
2024-10-09 23:30:00,139.31,139.71,139.26,139.33,15535.88,2024-10-09 23:59:59.999,2167474.33549,9817,7928.442,1106123.31051,0,,
2024-10-10 00:00:00,139.33,139.36,138.12,138.26,49410.083,2024-10-10 00:29:59.999,6850981.77658,18397,19246.677,2668785.69239,0,,
2024-10-10 00:30:00,138.26,138.76,137.66,138.49,62404.055,2024-10-10 00:59:59.999,8620249.72122,31091,27302.232,3772309.80809,0,,
2024-10-10 01:00:00,138.48,139.35,138.46,139.2,24216.471,2024-10-10 01:29:59.999,3365778.81112,21717,12680.948,1762511.01967,0,,
2024-10-10 01:30:00,139.2,139.81,139.07,139.3,35196.702,2024-10-10 01:59:59.999,4908964.49175,23872,20705.865,2888347.48854,0,,
2024-10-10 02:00:00,139.31,139.91,139.27,139.7,26376.527,2024-10-10 02:29:59.999,3681713.04022,15820,15812.354,2207393.16856,0,,
2024-10-10 02:30:00,139.69,139.94,139.67,139.74,17522.791,2024-10-10 02:59:59.999,2449712.46208,12343,9464.455,1323102.93555,0,,
2024-10-10 03:00:00,139.74,140.06,139.58,140.05,13825.616,2024-10-10 03:29:59.999,1933539.50815,9550,8147.273,1139417.24855,0,,
2024-10-10 03:30:00,140.05,140.41,139.79,139.89,21583.082,2024-10-10 03:59:59.999,3023664.86461,11354,10469.368,1466682.6794,0,,
