timestamp,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore,sumOpenInterest,sumOpenInterestValue
2022-05-07,77.3,77.5,63.25,68.13,6142369.5,2022-05-07 23:59:59.999,435000006.3386,549789,2927432.42,207169039.9652,0,,
2022-05-08,68.13,68.54,59.4,64.26,12843843.35,2022-05-08 23:59:59.999,825804571.8088,975315,6227471.68,400596301.9175,0,,
2022-05-09,64.27,65.29,30.0,30.29,33203121.52,2022-05-09 23:59:59.999,1643226794.6287,2310016,16418231.1,812554771.2736,0,,
2022-05-10,30.31,40.18,13.57,17.46,132055659.925,2022-05-10 23:59:59.999,3641612810.3970466,6381660,63196849.421,1760749801.428056,0,,
2022-05-11,17.46,19.66,0.69,1.0769,2564440333.076,2022-05-11 23:59:59.999,6877632522.71645,14126923,1220193913.435,3289296564.256979,0,,
2022-05-12,1.0782,1.38,0.00028,0.00032,273239141790.44,2022-05-12 23:59:59.999,3940730875.308903,14889819,119316498184.87,1805461795.3928175,0,,
2022-05-13,0.00032,0.0006,4e-05,5e-05,145150420958.3,2022-05-13 00:39:59.999,21343991.1367998,237843,58328028400.28,9126632.1330531,0,,
2022-05-31,1.0,25.0,1.0,8.87,53335774.77,2022-05-31 23:59:59.999,489342862.64730304,1874533,25231087.47,231867915.526969,0,,
2022-06-01,8.8699,8.9999,6.011,6.5295,29723084.51,2022-06-01 23:59:59.999,211222935.771786,782641,14399015.73,102463651.864587,0,,
2022-06-02,6.5305,7.49,6.1916,7.1025,17903528.61,2022-06-02 23:59:59.999,121642078.670379,344117,8698867.92,59208928.633443,0,,
2022-06-03,7.1109,7.1127,6.1636,6.4892,8736465.23,2022-06-03 23:59:59.999,57727226.420723,167835,4227397.82,27928778.475273,0,,
2022-06-04,6.4869,6.5441,6.25,6.3805,3350624.81,2022-06-04 23:59:59.999,21417840.871863,76236,1596997.64,10214282.388654,0,,
2022-06-05,6.3842,6.3843,4.5556,4.8767,20932583.32,2022-06-05 23:59:59.999,107926943.961428,365883,9874405.23,50882636.249725,0,,
2022-06-06,4.8767,5.5631,4.7702,4.9216,11193992.05,2022-06-06 23:59:59.999,57275005.462651,192534,5664013.38,29047140.47625,0,,
2022-06-07,4.9181,4.9697,3.65,3.8277,15760103.28,2022-06-07 23:59:59.999,67270979.921541,219698,7479865.53,31967875.82939,0,,
2022-06-08,3.8231,3.95,1.9463,2.1691,28394640.8,2022-06-08 23:59:59.999,88300328.023481,319846,13008890.26,40853942.346608,0,,
2022-06-09,2.1651,3.528,2.0484,3.0854,49214137.13,2022-06-09 23:59:59.999,143450085.55416,557047,24686477.8,72051544.110838,0,,
2022-06-10,3.0854,3.2953,2.7517,2.8635,18326612.47,2022-06-10 23:59:59.999,54913732.708657,207773,9061166.72,27191022.057708,0,,
2022-06-11,2.8665,2.9463,2.4803,2.6147,12886083.34,2022-06-11 23:59:59.999,35124000.176619,128702,6213716.51,16958315.904863,0,,
2022-06-12,2.6219,3.4884,2.4731,2.6,24322704.85,2022-06-12 23:59:59.999,69998429.789968,240760,11973200.46,34531091.360972,0,,
2022-06-13,2.6,2.7949,2.2701,2.5391,22028552.38,2022-06-13 23:59:59.999,56369604.503526,221915,10784003.98,27631125.121089,0,,
2022-06-14,2.5362,2.8175,2.32,2.5166,14705071.08,2022-06-14 23:59:59.999,37546650.718238,144367,7368932.29,18835928.499032,0,,
2022-06-15,2.5166,2.5948,2.0325,2.5309,19233132.3,2022-06-15 23:59:59.999,45086106.855156,141133,9204328.85,21546776.972385,0,,
2022-06-16,2.5312,2.7,2.2006,2.255,10890500.62,2022-06-16 23:59:59.999,26267744.398361,73899,4875385.82,11781989.514642,0,,
2022-06-17,2.2553,2.3348,2.1874,2.2327,7089386.27,2022-06-17 23:59:59.999,15931581.203241,45347,3877189.47,8708177.773732,0,,
2022-06-18,2.2321,2.2627,1.61,1.865,17396026.3,2022-06-18 23:59:59.999,33165544.640165,133852,8471818.79,16125432.810519,0,,
2022-06-19,1.8663,2.279,1.7576,2.1151,18278034.34,2022-06-19 23:59:59.999,37048336.733489,113499,9283431.12,18856678.486605,0,,
2022-06-20,2.1161,2.1262,1.88,2.0371,10653397.01,2022-06-20 23:59:59.999,21615593.397624,64687,5221837.04,10598160.038029,0,,
2022-06-21,2.0375,2.22,2.0147,2.0328,11032333.11,2022-06-21 23:59:59.999,23211465.692912,62543,5422758.34,11416147.212144,0,,
2022-06-22,2.0307,2.0331,1.8928,1.9176,6835923.92,2022-06-22 23:59:59.999,13368213.619206,40272,3357294.35,6567953.858382,0,,
2022-06-23,1.9164,1.9931,1.782,1.9423,9563737.66,2022-06-23 23:59:59.999,18409783.588972,50944,5111004.16,9843254.662988,0,,
2022-06-24,1.942,2.0483,1.8557,1.9862,8342219.42,2022-06-24 23:59:59.999,16135340.15984,49783,4209404.43,8144335.504909,0,,
2022-06-25,1.984,2.0442,1.9202,1.9917,7038853.04,2022-06-25 23:59:59.999,13879816.192926,39829,3388115.06,6683519.762778,0,,
2022-06-26,1.993,2.0802,1.9084,2.0137,12521019.62,2022-06-26 23:59:59.999,24950238.344838,64744,6442091.09,12838897.197279,0,,
2022-06-27,2.0158,2.7778,1.9538,2.22,60649216.07,2022-06-27 23:59:59.999,142034986.442673,370542,30654898.99,71805072.704154,0,,
2022-06-28,2.2217,2.639,2.06,2.4339,26804849.24,2022-06-28 23:59:59.999,63462212.102753,180358,12841126.92,30418293.738682,0,,
2022-06-29,2.4321,2.82,2.3423,2.622,29364179.47,2022-06-29 23:59:59.999,74976708.135604,207297,14388838.91,36739002.187826,0,,
2022-06-30,2.6229,2.6299,2.02,2.1288,14264708.27,2022-06-30 23:59:59.999,31381283.866735,103560,6898177.9,15157811.204688,0,,
2022-07-01,2.1251,2.2298,2.0298,2.1396,10106382.24,2022-07-01 23:59:59.999,21397749.96598,68407,5225181.66,11050613.915519,0,,
2022-07-02,2.137,2.2007,2.0607,2.1091,6012331.48,2022-07-02 23:59:59.999,12819909.269608,43861,2882499.31,6148491.814327,0,,
2022-07-03,2.1083,2.1645,2.06,2.1528,4357543.83,2022-07-03 23:59:59.999,9200810.160044,29386,2081350.33,4396860.028712,0,,
2022-07-04,2.1518,2.255,2.1,2.2471,5688785.36,2022-07-04 23:59:59.999,12330321.229973,42294,2725192.73,5912149.475652,0,,
2022-07-05,2.2477,2.2496,2.1071,2.1628,7158083.15,2022-07-05 23:59:59.999,15486519.351273,44058,3124818.94,6755832.221933,0,,
2022-07-06,2.1609,2.1765,2.1196,2.1522,4106345.6,2022-07-06 23:59:59.999,8820462.79718,28318,1960332.82,4211651.106576,0,,
2022-07-07,2.1509,2.2012,2.1259,2.1926,4227695.55,2022-07-07 23:59:59.999,9129227.876927,33939,2005927.42,4332926.623014,0,,
2022-07-08,2.1933,2.458,2.1883,2.2757,10346767.47,2022-07-08 23:59:59.999,24068248.664557,84674,4950344.96,11525119.701614,0,,
2022-07-09,2.2764,2.2868,2.201,2.2637,3364243.5,2022-07-09 23:59:59.999,7605852.70718,31423,1631608.83,3690089.289464,0,,
2022-07-10,2.2654,2.2748,2.02,2.1122,5769014.2,2022-07-10 23:59:59.999,12325620.985373,41967,2783254.12,5950100.316708,0,,
2022-07-11,2.1152,2.1161,1.83,1.887,6721211.54,2022-07-11 23:59:59.999,13501743.101432,44937,3247882.76,6527420.174981,0,,
2022-07-12,1.8861,1.938,1.7915,1.8155,6002079.75,2022-07-12 23:59:59.999,11168984.886281,40729,3083793.82,5741190.374094,0,,
2022-07-13,1.8173,1.8885,1.4808,1.8118,10217494.87,2022-07-13 23:59:59.999,17509659.876142,71547,5095354.77,8738273.082521,0,,
2022-07-14,1.8116,1.8388,1.6861,1.77,6841695.52,2022-07-14 23:59:59.999,11923417.84515,38789,3514257.72,6122228.511469,0,,
2022-07-15,1.7699,1.8768,1.7139,1.81,6159757.22,2022-07-15 23:59:59.999,11177429.491636,39651,3033898.42,5505715.151187,0,,
2022-07-16,1.8091,1.8229,1.7244,1.8096,3838190.62,2022-07-16 23:59:59.999,6797163.512445,33415,1814463.86,3216065.597382,0,,
2022-07-17,1.8066,1.8599,1.7362,1.7678,4154789.87,2022-07-17 23:59:59.999,7473001.860038,32754,1992739.62,3588044.314777,0,,
2022-07-18,1.7678,2.2062,1.76,2.0365,14562352.76,2022-07-18 23:59:59.999,28987114.155282,111828,7380889.44,14703500.767934,0,,
2022-07-19,2.0353,2.1436,1.855,2.0006,7426513.86,2022-07-19 23:59:59.999,14815911.719889,75350,3596693.99,7183174.080939,0,,
2022-07-20,2.0006,2.1895,1.8311,1.9044,9872428.39,2022-07-20 23:59:59.999,19931890.899337,88044,4806984.39,9713694.785297,0,,
2022-07-21,1.9048,1.9494,1.775,1.9112,5620848.88,2022-07-21 23:59:59.999,10549871.669605,51761,2759868.65,5185963.931039,0,,
2022-07-22,1.9113,1.94,1.8246,1.8523,3737527.3,2022-07-22 23:59:59.999,7066841.506278,41967,1908868.33,3610299.76659,0,,
2022-07-23,1.8523,1.9312,1.8017,1.856,3579242.6,2022-07-23 23:59:59.999,6679136.78501,41784,1684087.65,3146485.446942,0,,
2022-07-24,1.855,1.9312,1.8531,1.8627,3018275.75,2022-07-24 23:59:59.999,5709724.327728,31128,1443577.82,2730884.065758,0,,
2022-07-25,1.8628,1.8718,1.65,1.6788,4860400.06,2022-07-25 23:59:59.999,8665916.78002,42322,2215171.95,3951290.535973,0,,
2022-07-26,1.6751,1.719,1.6173,1.7147,3898582.94,2022-07-26 23:59:59.999,6491146.983637,44647,1945280.66,3241741.528691,0,,
2022-07-27,1.7152,1.8301,1.69,1.8093,4018498.67,2022-07-27 23:59:59.999,7014491.92764,39416,1952282.21,3409832.983133,0,,
2022-07-28,1.8094,1.9099,1.7813,1.8618,5817365.01,2022-07-28 23:59:59.999,10708708.239078,49808,2821539.07,5196063.362071,0,,
2022-07-29,1.8608,2.124,1.8416,1.9171,8532939.53,2022-07-29 23:59:59.999,16645012.98957,67094,4117037.81,8038787.808853,0,,
2022-07-30,1.9181,2.0,1.8178,1.8612,4896935.33,2022-07-30 23:59:59.999,9478611.114836,46707,2242576.99,4346573.823223,0,,
2022-07-31,1.8617,2.1178,1.8495,1.88,8613484.52,2022-07-31 23:59:59.999,17153189.918146,70663,4175782.81,8321614.856733,0,,
2022-08-01,1.8826,2.6425,1.8575,2.2735,37782266.94,2022-08-01 23:59:59.999,89329053.639638,327546,19036622.38,45026385.13197,0,,
2022-08-02,2.2703,2.3349,2.0888,2.1368,9723317.98,2022-08-02 23:59:59.999,21286340.476041,91005,4579713.94,10032958.960585,0,,
2022-08-03,2.1368,2.1946,2.0,2.0719,5630213.58,2022-08-03 23:59:59.999,11857500.534153,60546,2561151.23,5399796.784692,0,,
2022-08-04,2.0719,2.2419,2.0,2.0952,5225673.81,2022-08-04 23:59:59.999,11067926.799483,57255,2613305.36,5528812.474543,0,,
2022-08-05,2.0926,2.1449,2.068,2.1346,3472124.36,2022-08-05 23:59:59.999,7338814.17784,44463,1785296.25,3774122.5167,0,,
2022-08-06,2.1347,2.2238,2.085,2.1084,3221404.07,2022-08-06 23:59:59.999,6915840.470831,39117,1512405.89,3246879.361034,0,,
2022-08-07,2.1084,2.1457,2.0287,2.0982,2681129.74,2022-08-07 23:59:59.999,5594249.694532,30788,1368611.95,2853726.659528,0,,
2022-08-08,2.0983,2.1779,2.0802,2.109,2925046.43,2022-08-08 23:59:59.999,6222969.517374,35186,1362826.1,2900862.62944,0,,
2022-08-09,2.1091,2.21,1.8529,1.9821,5449626.99,2022-08-09 23:59:59.999,11213825.668931,57518,2618067.52,5385122.643392,0,,
2022-08-10,1.9821,2.0615,1.9061,2.0219,3383824.07,2022-08-10 23:59:59.999,6745432.453561,39225,1695614.99,3386302.377827,0,,
2022-08-11,2.0223,2.0694,1.951,1.9725,2617403.39,2022-08-11 23:59:59.999,5308801.816399,31996,1261475.43,2558926.147064,0,,
2022-08-12,1.9725,2.0973,1.945,2.0437,2800250.2,2022-08-12 23:59:59.999,5653063.44388,36193,1467679.31,2964928.473353,0,,
2022-08-13,2.0441,2.074,1.9823,2.0035,2054116.08,2022-08-13 23:59:59.999,4172916.211114,27707,908726.43,1848613.500177,0,,
2022-08-14,2.0038,2.199,1.9867,2.0522,6126179.81,2022-08-14 23:59:59.999,12709492.934206,65663,2930203.81,6084799.223096,0,,
2022-08-15,2.0526,2.1798,1.85,1.9846,7791725.03,2022-08-15 23:59:59.999,15951026.307504,70118,3758731.68,7709404.075594,0,,
2022-08-16,1.9846,2.0419,1.9324,1.9988,2731356.28,2022-08-16 23:59:59.999,5415584.095774,31361,1260826.99,2501549.86581,0,,
2022-08-17,1.9988,2.0507,1.8854,1.9341,3284358.27,2022-08-17 23:59:59.999,6513018.762678,38210,1540250.88,3056262.53789,0,,
2022-08-18,1.9333,1.9586,1.55,1.7695,4306805.54,2022-08-18 23:59:59.999,7917566.59977,49996,2143376.13,3973048.301609,0,,
2022-08-19,1.7697,1.788,1.52,1.5938,7186424.66,2022-08-19 23:59:59.999,11879477.092836,66870,3661463.95,6066090.314728,0,,
2022-08-20,1.5933,1.6802,1.5664,1.6166,3011263.61,2022-08-20 23:59:59.999,4931319.326902,35132,1493163.4,2446705.344291,0,,
2022-08-21,1.6167,1.6944,1.6135,1.6737,2838445.94,2022-08-21 23:59:59.999,4712186.285709,31578,1276157.42,2119081.046123,0,,
2022-08-22,1.6735,1.75,1.5915,1.6691,2849838.03,2022-08-22 23:59:59.999,4725121.209351,33352,1459055.66,2418439.00827,0,,
2022-08-23,1.6666,1.8396,1.6245,1.8031,6907874.69,2022-08-23 23:59:59.999,12016705.23705,57983,3270937.23,5694185.418256,0,,
2022-08-24,1.8026,1.8119,1.7151,1.7158,2803949.4,2022-08-24 23:59:59.999,4913208.44984,31494,1371944.15,2404089.392741,0,,
2022-08-25,1.7155,1.8478,1.713,1.8149,5907649.57,2022-08-25 23:59:59.999,10499719.132751,53972,3132160.48,5567837.096468,0,,
2022-08-26,1.8151,1.8573,1.5717,1.6161,5795091.79,2022-08-26 23:59:59.999,10036937.828594,57212,2880945.25,4997495.138311,0,,
2022-08-27,1.6156,1.6501,1.5742,1.6141,2478182.79,2022-08-27 23:59:59.999,4002931.355843,29351,1283981.03,2073976.784286,0,,
2022-08-28,1.6143,1.635,1.5056,1.5475,2142858.85,2022-08-28 23:59:59.999,3425736.278222,24025,1057753.1,1692168.863076,0,,
2022-08-29,1.547,1.6484,1.5,1.6386,2362578.93,2022-08-29 23:59:59.999,3760644.291988,27424,1227160.92,1954637.880427,0,,
2022-08-30,1.6386,1.7963,1.5701,1.7317,5545436.61,2022-08-30 23:59:59.999,9301518.748597,55302,2735376.23,4597571.763809,0,,
2022-08-31,1.7317,1.8471,1.6465,1.7834,9499373.36,2022-08-31 23:59:59.999,16642310.281177,81576,4761016.69,8361215.051164,0,,
2022-09-01,1.785,2.2135,1.7592,1.9911,33364390.55,2022-09-01 23:59:59.999,66687532.677034,259932,16728824.68,33451166.804017,0,,
2022-09-02,1.9913,2.0769,1.8255,1.8583,11232846.28,2022-09-02 23:59:59.999,21609204.483795,107067,5425619.88,10455023.402124,0,,
2022-09-03,1.8583,1.9192,1.7834,1.86,5696792.03,2022-09-03 23:59:59.999,10583266.857043,53318,2650128.5,4927963.023409,0,,
2022-09-04,1.8597,1.872,1.7617,1.8128,3695783.59,2022-09-04 23:59:59.999,6692672.042304,41232,1690915.97,3062235.370098,0,,
2022-09-05,1.8123,2.0129,1.7702,2.0028,11532299.51,2022-09-05 23:59:59.999,21834213.233095,114177,5862877.52,11103234.943855,0,,
2022-09-06,2.0036,2.16,1.7801,1.8485,16457575.54,2022-09-06 23:59:59.999,32641853.120176,153134,8199790.12,16290730.23542,0,,
2022-09-07,1.8479,1.9799,1.7666,1.8834,9691967.52,2022-09-07 23:59:59.999,18232542.240708,94972,4711773.63,8871039.665519,0,,
2022-09-08,1.8833,2.0806,1.8829,1.9113,15444580.62,2022-09-08 23:59:59.999,30555418.60441,133195,7449357.52,14750793.589483,0,,
